iter	Passed	Remaining
497	645	681
498	646	680
499	647	678
500	648	677
501	650	676
502	651	674
503	652	673
504	653	672
505	655	670
506	656	669
507	657	667
508	658	666
509	659	665
510	661	663
511	662	662
512	663	661
513	664	659
514	666	658
515	667	656
516	668	655
517	670	654
518	671	653
519	672	652
520	673	650
521	675	649
522	676	647
523	677	646
524	678	644
525	679	643
526	680	642
527	681	640
528	683	639
529	684	638
530	686	637
531	687	635
532	688	634
533	689	633
534	691	631
535	692	630
536	693	628
537	694	627
538	695	625
539	696	624
540	698	623
541	699	621
542	700	620
543	704	621
544	705	620
545	706	618
546	707	617
547	709	615
548	710	614
549	711	613
550	712	611
551	714	610
552	715	609
553	716	607
554	718	606
555	719	605
556	720	604
557	721	602
558	722	601
559	723	599
560	725	598
561	726	597
562	727	595
563	728	594
564	729	593
565	731	591
566	732	590
567	733	589
568	735	587
569	736	586
570	737	585
571	738	583
572	739	582
573	741	580
574	742	579
575	743	578
576	744	576
577	745	575
578	747	574
579	748	573
580	749	571
581	751	570
582	752	569
583	753	567
584	754	566
585	755	564
586	756	563
587	758	562
588	759	560
589	760	559
590	761	558
591	762	556
592	764	555
593	765	554
594	767	553
595	768	551
596	769	550
597	770	549
598	771	547
599	773	546
600	774	544
601	775	543
602	776	542
603	777	540
604	779	539
605	780	538
606	781	537
607	783	535
608	784	534
609	785	533
610	786	531
611	787	530
612	788	528
613	790	527
614	791	526
615	792	524
616	793	523
617	794	522
618	795	520
619	797	519
620	798	518
621	799	517
622	801	515
623	802	514
624	803	512
625	804	511
626	805	510
627	807	508
628	808	507
629	809	506
630	810	504
631	811	503
632	813	502
633	814	501
634	815	499
635	817	498
636	818	497
637	819	495
638	820	494
639	821	493
640	822	491
641	823	490
642	825	488
643	826	487
644	827	486
645	829	485
646	830	483
647	831	482
648	832	481
649	833	479
650	834	478
651	836	477
652	837	475
653	838	474
654	839	473
655	840	471
656	842	470
657	844	469
658	845	468
659	846	466
660	847	465
661	848	464
662	849	462
663	851	461
664	852	460
665	853	458
666	854	457
667	855	455
668	856	454
669	858	453
670	859	452
671	861	451
672	862	449
673	863	448
674	864	446
675	865	445
676	866	444
677	868	442
678	869	441
679	870	440
680	871	438
681	872	437
682	873	436
683	874	434
684	876	433
685	877	432
686	878	431
687	879	429
688	881	428
689	882	427
690	883	425
691	884	424
692	885	423
693	887	421
694	888	420
695	889	419
696	891	418
697	892	416
698	894	415
699	895	414
700	896	413
701	897	411
702	898	410
703	899	409
704	900	407
705	902	406
706	903	405
707	904	403
708	905	402
709	907	401
710	908	400
711	909	398
712	911	397
713	912	396
714	913	394
715	914	393
716	915	392
717	917	390
718	918	389
719	919	388
720	920	386
721	921	385
722	923	384
723	924	383
724	925	381
725	927	380
726	928	379
727	929	377
728	930	376
729	931	375
730	933	374
731	934	372
732	935	371
733	936	370
734	937	368
735	939	367
736	940	366
737	941	364
738	943	363
739	944	362
740	945	361
741	946	359
742	947	358
743	949	357
744	950	356
745	952	354
746	953	353
747	955	352
748	956	351
749	957	349
750	959	348
751	960	347
752	961	345
753	962	344
754	964	343
755	965	342
756	966	340
757	968	339
758	969	338
759	971	337
760	973	336
761	974	335
762	976	333
763	977	332
764	978	331
765	980	330
766	981	328
767	983	327
768	984	326
769	986	325
770	988	324
771	989	323
772	991	321
773	992	320
774	993	319
775	994	317
776	995	316
777	996	315
778	998	313
779	999	312
780	1000	311
781	1001	309
782	1003	308
783	1004	307
784	1005	306
785	1006	304
786	1007	303
787	1009	302
788	1010	300
789	1011	299
790	1012	298
791	1013	297
792	1015	295
793	1016	294
794	1017	293
795	1019	291
796	1020	290
797	1021	289
798	1022	288
799	1024	286
800	1025	285
801	1026	284
802	1027	282
803	1028	281
804	1029	280
805	1031	278
806	1032	277
807	1033	276
808	1035	275
809	1036	273
810	1037	272
811	1039	271
812	1040	270
813	1041	268
814	1042	267
815	1044	266
816	1045	264
817	1046	263
818	1047	262
819	1048	260
820	1050	259
821	1051	258
822	1053	257
823	1054	255
824	1055	254
825	1056	253
826	1057	252
827	1059	250
828	1061	249
829	1062	248
830	1063	247
831	1064	245
832	1065	244
833	1067	243
834	1068	241
835	1069	240
836	1070	239
837	1071	237
838	1073	236
839	1074	235
840	1075	234
841	1077	232
842	1078	231
843	1079	230
844	1080	228
845	1081	227
846	1083	226
847	1084	225
848	1085	223
849	1086	222
850	1087	221
851	1089	219
852	1090	218
853	1091	217
854	1093	216
855	1094	214
856	1095	213
857	1096	212
858	1097	210
859	1099	209
860	1100	208
861	1101	207
862	1102	205
863	1104	204
864	1105	203
865	1106	201
866	1108	200
867	1109	199
868	1110	198
869	1111	196
870	1112	195
871	1113	194
872	1115	192
873	1116	191
874	1117	190
875	1118	189
876	1119	187
877	1121	186
878	1122	185
879	1123	183
880	1124	182
881	1126	181
882	1127	180
883	1128	178
884	1129	177
885	1130	176
886	1132	174
887	1133	173
888	1134	172
889	1135	171
890	1137	169
891	1138	168
892	1139	167
893	1141	165
894	1142	164
895	1143	163
896	1144	162
897	1145	160
898	1147	159
899	1148	158
900	1149	156
901	1150	155
902	1151	154
903	1153	153
904	1154	151
905	1155	150
906	1157	149
907	1158	148
908	1159	146
909	1161	145
910	1162	144
911	1163	142
912	1164	141
913	1165	140
914	1166	138
915	1167	137
916	1169	136
917	1170	135
918	1172	133
919	1173	132
920	1174	131
921	1175	130
922	1176	128
923	1178	127
924	1179	126
925	1180	124
926	1181	123
927	1183	122
928	1184	121
929	1185	119
930	1186	118
931	1188	117
932	1189	116
933	1190	114
934	1191	113
935	1193	112
936	1194	110
937	1195	109
938	1196	108
939	1198	107
940	1199	105
941	1200	104
942	1201	103
943	1202	101
944	1204	100
945	1205	99
946	1207	98
947	1208	96
948	1209	95
949	1210	94
950	1211	93
951	1213	91
952	1214	90
953	1215	89
954	1216	87
955	1217	86
956	1219	85
957	1220	84
958	1221	82
959	1223	81
960	1224	80
961	1225	78
962	1226	77
963	1227	76
964	1229	75
965	1230	73
966	1231	72
967	1232	71
968	1233	70
969	1235	68
970	1236	67
971	1237	66
972	1239	64
973	1240	63
974	1241	62
975	1242	61
976	1244	59
977	1245	58
978	1246	57
979	1247	56
980	1248	54
981	1249	53
982	1251	52
983	1252	50
984	1253	49
985	1255	48
986	1256	47
987	1257	45
988	1259	44
989	1260	43
990	1261	42
991	1262	40
992	1263	39
993	1265	38
994	1266	36
995	1268	35
996	1269	34
997	1270	33
998	1271	31
999	1273	30
1000	1274	29
1001	1275	28
1002	1276	26
1003	1277	25
1004	1278	24
1005	1280	22
1006	1281	21
1007	1282	20
1008	1284	19
1009	1285	17
1010	1286	16
1011	1288	15
1012	1289	14
1013	1290	12
1014	1291	11
1015	1292	10
1016	1293	8
1017	1295	7
1018	1296	6
1019	1297	5
1020	1298	3
1021	1300	2
1022	1301	1
1023	1302	0
