iter	RMSE
181	16727.07916
182	16709.55169
183	16682.37609
184	16658.15773
185	16629.94231
186	16607.24147
187	16592.81266
188	16572.36286
189	16557.68221
190	16535.00803
191	16519.11486
192	16497.85791
193	16467.63246
194	16443.45522
195	16414.98868
196	16397.18861
197	16377.93734
198	16350.61369
199	16327.59315
200	16311.49872
201	16291.98191
202	16267.71225
203	16253.56173
204	16226.12948
205	16208.77403
206	16188.89492
207	16164.39614
208	16144.91002
209	16119.04325
210	16104.71825
211	16084.68812
212	16055.43933
213	16039.8884
214	16018.6346
215	15994.34639
216	15975.1815
217	15951.07491
218	15930.25325
219	15907.22622
220	15886.38867
221	15871.78667
222	15851.99779
223	15829.51154
224	15814.92668
225	15796.91491
226	15777.8703
227	15760.2031
228	15744.30625
229	15724.24492
230	15703.57424
231	15676.16745
232	15655.41395
233	15640.65534
234	15624.51005
235	15605.4211
236	15583.03832
237	15565.52453
238	15547.27056
239	15532.30353
240	15512.13735
241	15499.20031
242	15481.31364
243	15467.36171
244	15452.54315
245	15438.17101
246	15423.02653
247	15412.8541
248	15401.81081
249	15388.08116
250	15369.53443
251	15349.85231
252	15323.35836
253	15310.75177
254	15297.34329
255	15273.99893
256	15261.30552
257	15244.88964
258	15230.07526
259	15215.84559
260	15203.02184
261	15199.57866
262	15185.77513
263	15166.37004
264	15149.56366
265	15133.80068
266	15116.0865
267	15095.95612
268	15082.73986
269	15061.44906
270	15045.12746
271	15030.01311
272	15011.8139
273	15002.63305
274	14992.03025
275	14969.82539
276	14956.11922
277	14936.64678
278	14922.54107
279	14909.28391
280	14891.81408
281	14888.92007
282	14872.17343
283	14861.66811
284	14836.10798
285	14820.29068
286	14796.18758
287	14778.08489
288	14757.20906
289	14740.80527
290	14721.84937
291	14694.37806
292	14680.6208
293	14666.51245
294	14654.4446
295	14645.36503
296	14629.81705
297	14616.03366
298	14603.03194
299	14592.14683
300	14579.25065
301	14567.12437
302	14551.4882
303	14540.79462
304	14527.69045
305	14505.6183
306	14485.08662
307	14470.10569
308	14454.48279
309	14444.67985
310	14423.20523
311	14420.42153
312	14410.79261
313	14398.21273
314	14382.60723
315	14367.24115
316	14350.27371
317	14336.62118
318	14321.73388
319	14300.7063
320	14289.30895
321	14278.44605
322	14259.72244
323	14248.55545
324	14229.8791
325	14217.45792
326	14203.2003
327	14193.03257
328	14174.58869
329	14158.53591
330	14153.40827
331	14133.10555
332	14119.4315
333	14102.88548
334	14093.32006
335	14077.71666
336	14064.485
337	14052.18355
338	14037.42786
339	14023.41546
340	14010.91759
341	13995.03545
342	13975.38755
343	13962.31134
344	13951.27695
345	13937.27107
346	13928.58146
347	13919.3154
348	13917.23646
349	13899.4593
350	13889.86569
351	13865.2665
352	13855.22822
353	13845.84981
354	13835.79028
355	13833.4981
356	13824.84127
357	13811.12999
358	13797.74485
359	13786.3958
360	13781.47816
361	13771.06925
362	13764.63848
363	13745.78286
364	13722.87857
365	13711.83017
366	13710.0337
367	13707.98333
368	13695.04426
369	13686.91504
370	13673.4301
371	13660.6316
372	13650.22278
373	13637.80129
374	13624.35367
375	13613.95548
376	13601.00847
377	13590.71586
378	13576.24029
379	13564.9021
380	13563.27371
381	13554.0479
382	13542.35454
383	13529.67747
384	13521.14912
385	13510.6428
386	13497.48928
387	13482.6637
388	13471.18456
389	13469.10017
390	13452.20353
391	13437.94785
392	13423.46099
393	13407.22917
394	13392.60372
395	13378.71454
396	13372.80279
397	13360.09745
398	13350.68915
399	13348.82141
400	13327.85
401	13314.91753
402	13309.15494
403	13299.27301
404	13289.078
405	13277.54841
406	13268.43038
407	13258.03715
408	13239.86141
409	13224.31092
410	13213.63133
411	13199.77498
412	13195.75723
413	13187.62136
414	13175.67621
415	13163.77999
416	13153.98998
417	13132.69079
418	13124.40712
419	13114.0261
420	13106.76805
421	13087.82253
422	13079.71037
423	13071.44803
424	13064.07788
425	13057.16755
426	13042.47395
427	13035.88079
428	13025.64589
429	13017.25693
430	13002.06757
431	12994.06418
432	12984.14298
433	12969.46913
434	12961.1037
435	12949.74397
436	12942.13795
437	12932.57834
438	12924.96905
439	12923.23168
440	12914.66416
441	12909.8481
442	12902.99035
443	12897.13546
444	12890.22756
445	12879.37424
446	12865.4982
447	12852.79998
448	12835.55279
449	12825.20171
450	12813.35673
451	12798.18927
452	12787.82954
453	12778.65987
454	12767.13673
455	12754.79098
456	12742.83145
457	12723.43998
458	12714.02364
459	12705.45982
460	12692.79988
461	12686.18642
462	12670.59328
463	12666.89664
464	12650.27536
465	12641.49978
466	12634.14523
467	12629.57902
468	12616.18176
469	12606.76658
470	12595.61365
471	12585.43182
472	12570.80488
473	12556.43795
474	12545.2801
475	12533.24323
476	12514.30795
477	12504.54166
478	12494.54143
479	12484.85895
480	12480.38438
481	12471.00949
482	12458.06764
483	12442.63444
484	12435.45669
485	12429.14528
486	12421.34431
487	12410.31306
488	12398.16747
489	12386.39649
490	12381.70532
491	12367.77202
492	12345.29812
493	12331.57316
494	12323.46913
495	12315.53268
496	12305.45787
497	12300.41554
498	12291.76265
499	12288.14503
500	12276.91282
501	12271.76071
502	12264.93576
503	12253.14354
504	12249.27464
505	12244.91401
506	12236.77494
507	12220.41579
508	12212.26456
509	12202.58147
510	12194.82595
511	12179.35541
512	12164.19817
513	12153.49362
514	12146.9779
515	12135.84789
516	12122.88721
517	12114.17951
518	12103.36719
519	12088.70828
520	12082.2776
521	12071.65564
522	12062.46504
523	12054.61027
524	12041.12143
525	12030.66896
526	12019.98032
527	12018.40137
528	12009.11795
529	11998.98461
530	11991.78334
531	11982.76197
532	11973.99858
533	11964.72914
534	11955.22867
535	11948.01931
536	11937.87608
537	11930.03489
538	11920.69584
539	11913.88313
540	11904.91489
541	11896.92731
542	11894.81022
543	11891.92729
544	11885.52351
545	11873.60851
546	11872.15856
547	11862.50939
548	11854.12753
549	11841.28838
550	11830.181
551	11813.56695
552	11807.14371
553	11796.5995
554	11780.57905
555	11772.95499
556	11759.80199
557	11758.43639
558	11752.00424
559	11746.29116
560	11737.49719
561	11727.91887
562	11720.688
563	11714.01317
564	11703.28723
565	11696.66928
566	11689.88675
567	11679.20022
568	11666.77836
569	11658.14588
570	11648.20805
571	11639.75941
572	11629.29095
573	11622.71621
574	11614.07438
575	11601.55941
576	11600.51821
577	11589.7844
578	11582.23811
579	11568.23431
580	11558.83049
581	11552.27156
582	11541.65014
583	11532.62434
584	11525.21764
585	11520.24019
586	11519.31659
587	11513.5808
588	11500.93005
589	11490.69616
590	11474.85309
591	11464.00071
592	11447.16412
593	11434.3114
594	11429.57146
595	11421.06058
596	11418.48844
597	11406.05785
598	11392.7952
599	11385.18584
600	11381.05663
601	11374.17804
602	11366.96986
603	11360.08962
604	11351.35299
605	11345.33769
606	11343.52244
607	11338.88477
608	11325.19481
609	11317.54977
610	11316.63962
611	11309.04844
612	11301.42482
613	11293.21483
614	11288.5059
615	11283.4019
616	11271.32351
617	11257.69131
618	11249.34188
619	11238.71319
620	11231.71178
621	11219.24779
622	11210.18001
623	11202.15016
624	11201.2152
625	11190.45788
626	11182.30535
627	11175.76863
628	11169.59645
629	11161.42125
630	11151.2305
631	11142.82658
632	11131.18303
633	11124.2085
634	11115.14907
635	11105.76809
636	11098.05532
637	11090.11963
638	11083.28784
639	11081.42371
640	11073.90527
641	11068.57011
642	11067.64733
643	11060.46791
644	11052.0624
645	11043.64942
646	11036.523
647	11022.19237
648	11016.91314
649	11016.08727
650	11015.39857
651	11002.57842
652	10993.45539
653	10984.94129
654	10980.01051
655	10971.92601
656	10961.16537
657	10953.256
658	10942.17374
659	10934.41225
660	10924.91492
661	10923.6295
662	10914.71515
663	10908.89714
664	10899.83626
665	10896.48274
666	10888.51481
667	10882.09818
668	10875.07506
669	10867.28484
670	10861.67616
671	10851.41465
672	10848.02514
673	10840.44457
674	10833.56755
675	10824.69658
676	10821.22209
677	10814.00341
678	10807.33628
679	10806.37791
680	10799.82544
681	10789.73633
682	10783.11915
683	10777.85517
684	10776.21784
685	10764.66695
686	10754.74454
687	10748.4006
688	10736.64293
689	10733.83229
690	10725.80767
691	10716.51737
692	10710.24055
693	10704.91404
694	10696.22465
695	10690.06724
696	10683.82612
697	10676.67847
698	10666.15674
699	10661.9852
700	10653.68295
701	10645.01186
702	10641.02687
703	10635.40402
704	10631.6975
705	10628.86862
706	10618.19511
707	10613.037
708	10603.22159
709	10590.31496
710	10586.09305
711	10580.27998
712	10576.16382
713	10565.84943
714	10558.16329
715	10552.59547
716	10540.74817
717	10530.99201
718	10530.07533
719	10523.32322
720	10513.42425
721	10505.89262
722	10504.37643
723	10497.69189
724	10490.0593
725	10489.22604
726	10479.89614
727	10473.95326
728	10470.06198
729	10464.94938
730	10457.34992
731	10451.55711
732	10440.39078
733	10431.14744
734	10421.45972
735	10414.99383
736	10408.98382
737	10402.56061
738	10395.40497
739	10387.52144
740	10379.38631
741	10376.52434
742	10370.33275
743	10365.36712
744	10359.09732
745	10351.35917
746	10341.056
747	10333.41634
748	10326.13907
749	10323.65382
750	10318.03872
751	10312.83354
752	10306.14036
753	10299.91004
754	10291.60623
755	10288.64824
756	10279.06555
757	10268.45629
758	10263.29884
759	10258.76416
760	10252.82204
761	10247.85385
762	10247.25606
763	10241.55497
764	10237.52445
765	10231.01699
766	10223.19673
767	10216.96343
768	10213.59154
769	10206.50873
770	10200.51437
771	10196.57324
772	10187.40343
773	10180.66005
774	10172.57447
775	10162.37581
776	10155.36585
777	10154.76848
778	10146.39123
779	10135.147
780	10128.63554
781	10122.18316
782	10113.80406
783	10108.59452
784	10099.26353
785	10093.58582
786	10087.50494
787	10078.9639
788	10068.98277
789	10059.14432
790	10054.14777
791	10048.11857
792	10042.09293
793	10037.31454
794	10030.83848
795	10026.47781
796	10021.37816
797	10012.97399
798	10007.93209
799	10001.9792
800	10001.08123
801	9994.711988
802	9986.724416
803	9980.489511
804	9975.162321
805	9970.589089
806	9969.979855
807	9965.235027
808	9959.297199
809	9952.635845
810	9946.382209
811	9940.902984
812	9937.248687
813	9931.73339
814	9925.516288
815	9920.201902
816	9914.295892
817	9909.853856
818	9900.888454
819	9895.736125
820	9892.377641
821	9890.03635
822	9883.131138
823	9879.169004
824	9873.494337
825	9872.85176
826	9863.469288
827	9858.168944
828	9852.162693
829	9851.647836
830	9844.370548
831	9838.659111
832	9834.347785
833	9831.686472
834	9827.764465
835	9820.469712
836	9812.866325
837	9805.068266
838	9799.02389
839	9796.538733
840	9793.076124
841	9792.114981
842	9784.125593
843	9780.914363
844	9774.475181
845	9768.492195
846	9764.895798
847	9757.436541
848	9752.163157
849	9744.16237
850	9739.152973
851	9734.941372
852	9728.293457
853	9723.462251
854	9715.372188
855	9708.310666
856	9701.714638
857	9698.480318
858	9692.031514
859	9684.120006
860	9679.716447
861	9675.533793
862	9675.029563
863	9668.569708
864	9662.444279
865	9657.188213
866	9655.633066
867	9648.832063
868	9639.468271
869	9634.203879
870	9629.760176
871	9623.028194
872	9619.595497
873	9611.769674
874	9606.400518
875	9601.908792
876	9593.072918
877	9585.904863
878	9580.082314
879	9575.974105
880	9569.763896
881	9560.347028
882	9559.189492
883	9558.069735
884	9552.392937
885	9547.411772
886	9540.690189
887	9533.207303
888	9528.967588
889	9523.93987
890	9518.205047
891	9510.380832
892	9502.657317
893	9500.155092
894	9494.848299
895	9493.783301
896	9486.179009
897	9480.305181
898	9474.441903
899	9468.38016
900	9462.540968
901	9457.192466
902	9448.660041
903	9443.290492
904	9438.031202
905	9431.954468
906	9428.475185
907	9426.210389
908	9419.40743
909	9414.239094
910	9410.039417
911	9407.968997
912	9402.433105
913	9398.183451
914	9396.393412
915	9393.437125
916	9388.809515
917	9383.092315
918	9375.265062
919	9370.670666
920	9364.141964
921	9358.799962
922	9352.611792
923	9348.090953
924	9343.543678
925	9339.332197
926	9332.732146
927	9327.20704
928	9322.205668
929	9316.22957
930	9312.077966
931	9305.118358
932	9299.81698
933	9292.383537
934	9286.724485
935	9285.965482
936	9274.399989
937	9268.756562
938	9263.424424
939	9255.981401
940	9248.739633
941	9241.940222
942	9237.438422
943	9228.315623
944	9221.723818
945	9216.159548
946	9210.057123
947	9205.224253
948	9199.836777
949	9195.763386
950	9191.046475
951	9185.547363
952	9181.282343
953	9174.256167
954	9169.683686
955	9165.884767
956	9159.725127
957	9153.468496
958	9148.453371
959	9143.462638
960	9137.94669
961	9134.102194
962	9129.342729
963	9127.544836
964	9121.933987
965	9115.731938
966	9110.770092
967	9105.253878
968	9103.014089
969	9097.52116
970	9092.886799
971	9086.821101
972	9079.002395
973	9073.493102
974	9068.861082
975	9063.414224
976	9054.377302
977	9048.987657
978	9048.337898
979	9043.632825
980	9038.823249
981	9031.595676
982	9026.927723
983	9024.068943
984	9019.061554
985	9015.633776
986	9011.147453
987	9000.008429
988	8997.141345
989	8990.747026
990	8985.987015
991	8980.044331
992	8974.679941
993	8970.456049
994	8964.872392
995	8959.653821
996	8956.537608
997	8949.444687
998	8947.032921
999	8941.800187
1000	8937.33668
1001	8933.853008
1002	8927.520837
1003	8924.167428
1004	8917.915828
1005	8913.154978
1006	8909.666543
1007	8906.191503
1008	8903.00619
1009	8902.77089
1010	8901.187456
1011	8898.29195
1012	8892.169486
1013	8888.915838
1014	8884.25587
1015	8880.485191
1016	8876.286595
1017	8870.50116
1018	8865.583539
1019	8865.192955
1020	8859.906114
1021	8855.039593
1022	8852.566067
1023	8846.517833
